Accident ID,Event Type,Industry Type,Accident Description,Domino Effects,Natech Events,Transboundary Effects,Contractors,Release Major Occurrences,Release Initiating Event,Fire Major Occurences,Fire Initiating Events,Explosion Major Occurences,Explosion Initiating Events,Transport Major Occurences,Transport Initiating Events,Accident Description - Other,Substance Classification,Causes of the accident,Plant/Equipment Causative Factor Type,Human,Organizational Causative Factor Type,External Causes,Causes - Other,Theme of the Lessons Learned,Lesson Learned
223,Major Accident,Petrochemical / Oil Refineries,"Accidental spill of crude oil over a rain water drain, followed by a fire and an explosion in the Beach of Aterro near the refinery.For the unloading operations of crude oil through the Ocean Terminal of Leixoes (OTL), operational instructions were issued and distributed on 13/10/1998.The assistant manager of the logistics department and the manager of the Product Handling department worked out a document, dated 14/10/98, with the title ""Procedure for Setting the Pipeline under Pressure with Crude Oil"", concerning the operations of purging the soft water contained in the pipeline connecting the buoy with the refinery of Porto. The contents of the document remained known only to them. The document contained the pumping flow rate (ca. 500 m#/h), the volume of water to be purged (2900m#), the time estimated for purging the pipeline (ca. 6h), the frequency of supervisions of the system (in the first three hours not less than three times an hour; starting from the fourth hour continuous monitoring until conclusion of the purging), the circumstances for which the sewage treatment plant of the refinery would have to be contacted as well as the conditions under which the pumping operations would have to be stopped.On 14/10/98 at about 20:30 h the deputy captain of the ship Enalios Tethis signed a discharge protocol, named ""Operation Agreement &amp; Sequence Agreement"", according to the parameters agreed upon with the Product Handling department, without making any reservation from the part of the tanker concerning the assurance of minimal flow-rate of 500 m#/h .Once the unloading started, the CLT informed the Product Handling control room that according to the information given by the ship, the pumping flow-rate corresponded to 300 m#/h.The assistant manager of the Logistics department requested around 21:05 from- CLT an increase of the flow rate to 500 m#/h. He again requested the control room to confirm jointly with the CLT the flow rate, because the level in the channel was already reaching half level.Around 21:15 the manager of the Product Handling Department communicated to the operator of the waste water treatment plant that the water which was being purged was clean, so that drain 25 (rainwater) could be diverted from the storm-water basin to the sea, an operation which was performed.Around 21:20 the ship informed CLT that pumping was being carried out with a flow rate of 500m#/h , information which was transmitted to the control room of the Product Handling department.Around 21:40 the assistant manager of the Logistics department requested an increase of the pumping flow rate of further 100 m3/h, having observed that in the purging zone (zona di spurgo) the water remained clean and that the level in the channel had increased to near to reach its maximum level; he also requested the CLT to confirm the flow rate. Around 21:45 the deputy captain of the ship informed that the pumping was being carried out at a flow rate of 650 m#/h. After having established that the channel could not contain a higher flow rate, the assistant manager of the logistics department requested not to increase the flow rate any more and, in case of any variation, to reduce it. Instructions were issued to the ship not to exceed a flow rate of 700 m#/h.During shift change at 22:00, the operation coordinator was informed about the situation and it was particularly recommended to him that ""if traces of oil appeared, to request U 7000 (on-site waste water treatment plant) to divert drain 25 to the storm water basins, and after 24:00 to divert the drain to the storm water basin in any case even if no oil spot appeared"".The operator of the waste water treatment plant declared that at 22:30 he saw traces of hydrocarbons in the water flowing in the outlet box of drain 25 towards the rainwater drain; he then went to the storm water basins to ascertain the situation. Around 22:40, he alerted by phone the control room of the Product Handling department and started the operations for diverting drain 25 from the rain water drain to the storm water basin of the waste water treatment plant. Meanwhile, the operator of the Security Service passing near the control room was requested to check what was occurring in drain 25.At 22:45 the release of crude oil by drainage system 25 occurred.In consideration of this situation, it was ordered to divert drain 25 towards the storm water basin and to contact CLT to stop the pumping from the ship.At approx. 22:50 the operator of the waste water treatment plant performed the diverting operation of drain 25 from the rain water drain towards then storm water basins, but due to the high flow rate a part of the effluent was still discharged to the sea. It has not been determined if the operator acted following a specific order from the control room of the Product Handling department or if he acted on his own independent initiative. The operator declared that he acted on his own initiative. The Product Handling department declared on its side that a specific request had been issued.Around 23:05, the Product Handling department requested CLT to interrupt the pumping, which was carried out. The Product Handling department informed CLT that the deputy captain had communicated that until 23:00 2900 m3 had been discharged.Around 23:15 general alarm was released while the fire which had deflagrated on the beach of Aterro propagated through the rain water outfall to the rain water outlet box inside, the refinery .The fire was declared extinguished at 23:45.",FALSE,FALSE,FALSE,FALSE,,fluid release to water,"pool fire (burning pool of liquid, contained or uncontained)",,VCE (vapour cloud explosion; supersonic wave front),,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)","- The ship did not respect the pumping program of crude oil, previously agreed between the involved parties to start operations; the permitted flow rate was exceeded by ca. 2.4 times.- The operating procedures drawn up for the Porto refinery were not extensive enough to maintain control of disturbances such as the one that occurred.No risk assessment was performed for setting the pipeline -under pressure (110107)The process for setting the pipeline -under pressure is based on the unloading flow rate of the tanker, a variable which was not controlled by the refinery and was not measured directly and with precision by the tanker. This procedure did not foresee any anomalous situation(110103).",,,"organized procedures
process analysis",,,"Causes - Plant/Equipment
Causes - Organisational","Measures to prevent recurrence: - Complete the project to motorise all large sized block valves, in order to reduce response times in closing/opening, particularly in case of an emergency.- Assure that before all modifications concerning operational procedures or design modifications are carried out, a risk assessment is performed.- Resize and automate the diversion system of the rain water drain to the waste water treatment plant, so as to assure that no hydrocarbons may be accidentally released to the sea over the rainwater outfall.- Work out on-site regulations on the use of draining systems, integrating all separate operating instructions, which already exist.- Any operation not specifically mentioned in the manuals or described by the operational instructions will have to be documented with a written procedure which will have to be approved by all parties involved and in the case of the involvement of a third party by the management of the refinery."
224,Major Accident,General chemicals manufacture (not otherwise specified int the list),"Unexpected release of hydrogen sulphide gas occurred at a plant for production of ferric chloride from waste pickling solution. Two workers were manually adding solid phase sodium sulphide to a liquid phase pickling solution. The release occurred because the pH value of the solution was too low and too much sodium sulphide was added. The two workers were killed. The initial concentration of the released gas was at least 1000 ppm.
1999, the initiating event was the addition of solid phase sodium
sulphide to liquid phase spent pickling solutions, which had far too
low a pH value. The intention was to precipitate heavy metals in the
solution. However, the very low pH value induced formation of hydrogen
sulphide gas rather than precipitation of heavy metals.[TEXT 1]
On the afternoon of the 9th of may 1995, there was a release of hydrogen sulphide gas at a plant, which resulted in the death of two process workers. The release occurred at a plant for the production of ferric chloride from waste pickling solutions. The two workers were manually adding solid phase sodium sulphide to a liquid phase pickling solution. The pH value of the pickling solution was much too low and too much sodium sulphide was added. Therefore instead of the expected chemical reaction (precipitation) an unexpected reaction (formation of hydrogen sulphide gas) occurred.

[TEXT 2]
The time of ""major occurrence - finish"" which has been stated is the time when the municipal Rescue Service had concluded that the two process operators were deceased.
Accident Gravity Scale=3
[TEXT 3]
The site is covered by the Seveso I directive because of the use of chlorine.

Meteorological conditions - Remarks: Sunny day, with clear sky and steady wind.Wind speed: 2.60; Wind direction: north; Wind stability: stable; Temperature: 10.00, Precipitation: NoneDiscussions about the occurrence: The human factor and lack of chemical-technical knowledge. Among other things no proper pH check of the spent pickling solutions was carried out. Inadequate management procedures, the work carried out in an improvised manner instead of following established procedures. Inadequate supervision of how the work was actually carried out and a lack of safety culture. The activity of the establishment was not in accordance with the license issued on the basis of the Environmental Protection Act.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"01. VERY TOXIC
08. EXTREMELY FLAMMABLE - note 3(c)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50","The human factor and lack of chemical-technical knowledge. Among other things no proper pH check of the spent pickling solution was carried out. Inadequate management procedures, the work carried out in an improvised manner instead of following working procedures. Inadequate supervision of how the work was actually carried out and a lack of safety culture. The activity of the establishment was not in accordance with the license issued on the basis of the Environmental Protection Act.No proper pH value check was made of the spent pickling solutions, in the reaction vessels, into which sodium sulphide was added. Various inappropriate, temporary arrangements were used in order to facilitate the adding of sodium sulphide. Therefore the roof covering directly above the reaction vessels was removed and a temporary ladder arrangement was in place in order to facilitate human access to the top of the reaction vessels.",unexpected reaction/phase-transition,,organized procedures,,Yes,Causes - Organisational,"Immediate lessons learned  - Description: Spent pickling
solutions to which sodium sulphide is to be added (for precipitation of
heavy metals) must be properly pH checked prior to addition of sodium
sulphide. The pH value must be at least 4.5. It is of paramount
importance that firm, well planned working procedures are adhered to in
this type of industry. Improvised procedures introduce great risk.Measures to prevent recurrence: Improved management routines and improved safety training of the staff were found to be necessary. A review is also necessary in order to check if there are more critical parameters which should be analysed on a routine basis in order to ensure safety and minimize risks. The entire staff at the process factory in question need to change their attitude in a direction which caters for more consideration of safety and risk related aspects. The accident also highlights the difficulties of assessing staff education, general knowledge and experience in safety matters for the authorities.Measures to mitigate consequences: Psychological counselling of co-workers and relatives of the deceased took place soon after the accident had occurred."
227,Major Accident,Processing of metals,"The accident happened when a welding electrode was going to be welded on to a broken bolt in a wooden frame to a mould to allow it to be raised in order to fit a lifting eye so that the mould could be lifted out of the hole in the topside of a torpedo car. A torpedo car is a long tube dressed with castings and ceramic bricks and is used to transport liquid pig iron from the blast furnace to the steelworks.The torpedo car had just been reconditioned with new castings and bricks (The torpedo car is normally reconditioned twice a year). During the hardening process, hydrogen gas was emitted inside the closed and tight torpedo car and an explosive mixture was formed inside the torpedo car. When the welding electrode came into contact with the bolt in the wooden frame the hydrogen gas mixture exploded. The welding procedure was not an ordinary job but was needed because the bolt was broken.One person, who was standing on the lid of the casting mould, was thrown into the air and fell down. He died from the injuries he sustained. The person doing the welding was hit in the jaw by the lid. He received treatment at University Hospital Umeå for severe facial injuries. Two other persons, who were placed near the spot of the accident, received minor injuries.",FALSE,FALSE,FALSE,FALSE,,,,,runaway reaction explosion (usually exothermic),,,,Combustion products in the air,"07 b. HIGHLY FLAMMABLE - note 3(b)(2)
08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE","An unintentional explosive atmosphere had been formed in the torpedo car. The hydrogen gas was enclosed because of the construction of the mould and the underlying covering plastics.During the attempt to repair the lifting eye bolt (by welding) the hydrogen gas mixture ignited and exploded.The investigation is still ongoing; the results of which will be detailed in a full report. 
The accident happened because of a lack of information from the supplier to the user. Even if the suppler is formally not obliged to do so, the supplier should have informed the company that hydrogen gas would be formed during the hardening process of the cast compound. ; The purpose of a Safety Data Sheet (SDS) is to inform about all possible hazardous risks of the product within its field of application. ; ",unexpected reaction/phase-transition,,process analysis,,,"Causes - Plant/Equipment
Causes - Organisational","Measures to prevent recurrence:- The closed casting mould is replaced with an open one.- Exchange of cast compound for the compound they used earlier.- The torpedo car will be ventilated during casting cycle.- A risk assessment concerning the casting cycle had been performed - One person has been appointed as full time safety controller at the ceramics and masonry yard.- The company to perform risk assessments of every working aspect and, if necessary, change materials or routines.- Improve the routines of reporting accidents and incidents.Measures to mitigate consequences:see above"
228,Major Accident,General chemicals manufacture (not otherwise specified int the list),"This accident is being reported under the provisions of part II of appendix VI on ""specific technical interest"".A cistern containing 16,300 tons of 96 % sulphuric acid was ruptured. The entire contents of the cistern was spilled out into the tank bund and then out into Kemira Kemi AB's (KKAB) dock. When the sulphuric acid came into contact with the water there was an exothermic reaction, which produced a vapour cloud that drifted northwards along the coastline with the wind. After the spill there was approximately 2,000 tons of contaminated sulphuric acid by water in the bund. About 100,000 sq.m. of the ground surrounding the spill has been affected by the acid. An acid cloud was produced when the sulphuric acid came into contact with the salt water in the bund. The salt water consisted of approx. 0.7 w-% chloride ions. The Swedish Defence Research Agency (FOI) has estimated that the sulphuric acid together with the salt water produced a cloud (gas and aerosol) consisting of hydrogen chloride (HCl). During the first few minutes the maximum concentration of HCl was estimated at 6 000 mg/m3 at some spots near the scene of the accident. ; After 10 min the highest concentration was 600 mg/m3 and the concentration declined to 60 mg/m3 after 60 min. Fortunately the cloud moved along the coast line and mostly over the sea. No one outside the plant was affected.The cistern stands in a tank farm and the bund can hold a third of a cistern's volume in the event of a leak. The bund was filled with salt water when the rupture occurred. There was also another cistern containing 19,500 tons of 96 % sulphuric acid in the bund. To reduce the risk of damage to this other cistern the incident commander ordered the emptying of the bund, resulting in 1,000 to 2,000 tons of water contaminated by sulphuric acid being pumped out into the company's dock area.Meteorological conditions:The acid cloud (gas and aerosol) ; moved along the coastline but mostly over the sea. After approx. one hour and approx. 10 km away from the plant the acid concentration in the cloud was harmless. Precipitation: none, Temp: 5C, Wind Speed: 2.4, Direction: Southeast 140degrees",FALSE,FALSE,FALSE,FALSE,"gas/vapour/mist/etc release to air
fluid release to ground
fluid release to water",fluid release to ground,,,,,,,,"02. TOXIC
03. OXIDIZING
10 i. ANY CLASSIFICATION - R14","The cause of this incident has been assessed to be a leak in a coolant supply pipe, which caused a weakening of the ground under the tank farm. This led to instability in the cistern, which subsequently split. The dyking was also damaged. Progress of events 4.2.2005:03.35 hours: ; the alarm raised about low pressure in the coolant supply pipe, which instigated the starting up of another coolant supply pump in order to maintain supply to the works. 03.45: water seen in the dyking coming from a hole east of the cistern inside the dyking.04.10: the water starts to run out over the dyking.04.36: The cistern split and 16, 300 tons of sulphuric acid emptied from the cistern in effect instantaneously. ; A high acid wave was seen moving towards the dock. Personnel in the docks area, 8 people (5 KKAB employees and 3 from Helsingborg's port), ran in different directions to reach safety. 5104 - corrosion/fatigueThe primary cause of the incident was the leak in the coolant supply pipe. The pipe is made of concrete and came into use during the first half of the 1960s, most likely 1963. The pipe had been in use through the years without any major problems ever having been identified. The only damage noted to the pipe was a leak at the pumping station in 1999.An inspection of the failed pipe after the incident detected little or no internal corrosion, but heavy external corrosion to the concrete. In certain places on the pipe the concrete has corroded so severely that the reinforcing steel has been exposed. ; ; The appearance of that part of the coolant supply pipe that was studied suggests that the corrosion is as a result of an acidic attack on the concrete. ; According to a German DIN standard (1991) DIN 4030 and a European standard EN 260 (2001) a strong attack on concrete occurs if the pH level in surrounding water is ; &lt; 5.5 and a very strong attack is if the pH level is &lt;4.5.In 1989 a ground pollution study was carried out in the area, during which one of the sample taking points was close to the failed coolant supply pipe. At this point the pH level was measured at approx. 4 in the shallow groundwater. With this new knowledge gained the company drew the conclusion that this pH level entailed risks for strong acidic attacks on the concrete. The same conditions apply to the risk of a sulphate attack in the pipe. ","vessel/container/containment-equipment failure
corrosion/fatigue",,not known / not applicable,,,"Causes - Plant/Equipment
Causes - Organisational","The incident on 4th February 2005 has led to the initiation of a number of activities at KKAB, all of which have as their objective the prevention of a similar incident being repeated. Here is a description of current activities: 1. Immediately after the incident an inspection began of the whole of KKAB's industrial area, to assess if there were other important installations (from a safety perspective) in which a similar incident could occur. ; With this as a basis, and in conjunction with the following points, the company will decide on the design of future water supply.2. As the other supply pipes for the coolant in the docks area could not be guaranteed to be in a satisfactory condition, especially as sulphuric acid had leaked into the pipes during the incident, the decision was promptly taken to lay new pipes. The new pipes are made of plastic, PEH 100, and lie overground along the shoreline in the docks area. ; Risk analyses have been carried out and the new pipeline has been put in place. The company has also decided to build another pipeline parallel to the first. ; The pipes will be covered by macadam.3. At the time of the incident the pressure in the coolant supply pipe fell from about 6 to about 2 bars. The operator's instructions then were to ensure continued coolant supply to the works, which is why another pump was started. Such a powerful drop in pressure probably indicates that something serious has happened with the pipe. Therefore, the new pipes are installed with a low pressure fail-safe, which shuts off the pumps if the pressure falls below a level lower than those expected within normal operating conditions.4. KKAB has started working out what guidelines should apply for ground pipes within the company's area. Choice of material, ground conditions, proximity to installations relying on pressure, dimension and protection measures taken are some of the parameters that will be taken into account. 5. The company has also started an overhaul of routines in order to increase focus on ground pipes. "
230,Major Accident,Processing of metals,"Oxygen facility provides production and supply of gas pressed oxygen for the need of US Steel Ltd. At 02.30 AM decrease of the oxygen pressure in pipeline leading to steelwork was discovered. The manager of work shift decided to increase pressure through additional supply of liquid oxygen from a tank. Employee in charge started to cool down the liquid oxygen pump at 02.40 AM. At 03.00 AM the pump started fully operate and worked till 03.28 AM. Consequently, the given employee checked the equipment in operation. While walking along the equipment, an explosion occurred resulting in fire of the liquid oxygen pump. Due to the explosion pieces of material were thrown around, liquid oxygen escaped and dress and shoes of the given employee were set on fire. He has escaped to the control room of the oxygen facility, where he received the first aid.After hearing the strong detonation and seeing the fire in the area of liquid gas, the manager of the oxygen facility immediately reported this to the control center. Then he went to look for his colleague. His dress soaked in with oxygen (reaching approximately to his knees) and consequently the dress was set on fire. He received the fist aid at the control room of the oxygen facility. The manager of work shift asked the firemen to close the main closure of the liquid oxygen. The firemen investigated the area and consequently got into oxygen cloud and their dress was set on fire. The fire was localized and main closure closed. Injured persons were transported to hospital.",FALSE,FALSE,FALSE,FALSE,"gas/vapour/mist/etc release to air
fluid release to ground",,conflagration (a general engulfment fire),,,,,,,"08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE","The failure was caused by defect and consecutive fatigue abruption of the shaft tail carrying impeller wheel of the centrifugal pump. The centrifugal pump is an one-stage centrifugal pump powered by electric motor per a gear box (speed: 7200 r/min, material: bronze, temperature: -183 C, max. back pressure: 0,5 MPa , performance: 333 l/min)",component/machinery failure/malfunction,,,,,,No lessons learned so far.
231,Major Accident,General chemicals manufacture (not otherwise specified int the list),"During electric welding and grinding of weld on food-bridge connecting two tanks occurred a pressure explosion. The capacity of the tank was 80 m3 and stored substance was 72,219 t of ;
      ethylene chlorohydrin. The tank was due explosion partially damaged. The main part of ;
      ethylene chlorohydrin burned away, and a part came into sewage waters. Two internal and three external employees have been injured.",FALSE,FALSE,FALSE,FALSE,"gas/vapour/mist/etc release to air
fluid release to ground",,"pool fire (burning pool of liquid, contained or uncontained)",,,pressure burst (rupture of pressure system),,,,01. VERY TOXIC,"During electric welding and grinding of weld on food-bridge connecting two tanks occurred a pressure explosion. Due the explosion the cover was torn off and a leak occurred at the bottom. Part of substance leaked out and burned away in the air and surround, a part went into sewerage waters and sequentially to waste water treatment.",other,,maintenance/repair,,,,not given 
232,Major Accident,Manufacture of food products and beverages,Two men were moving a tank of ammonia in a loading dock when a line broke and spilled about 50 gallons of liquefied ammonia. ,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50","The workers were moving two 25 gallon ammonia tanks.  They thought  the tanks were emptied. A line on ammonia storage tank ruptured.  The ammonia which were stored as a liquid under pressure were released.  The investigation is ongoing.  The valve on the end of the line connected to the tank was closed.  However, it appears that the valve on the tank was open. Therefore, when the line broke, the content of the tank was released.",,,,,,"Causes - Plant/Equipment
Other","When moving equipment with potentially hazardous chemicals inside, it is important to make sure all the valves are closed off."
233,Major Accident,Processing of metals,"One man was killed and another was critically injured by an explosion at an outdoor aluminum smelting operations.  The men were were melting aluminum scrap at a scrap yard using a small home made furnace. 
",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,The explosion occurred at the smelting furnace.,,,,,,Other,"It may be very dangerous to attempt to do smelter using a homemade furnace.  Also, must be careful smelting scraps.  Some may contain materials that can lead to an explosion."
235,Major Accident,Production and manufacturing of pulp and paper,Hydrogen sulfide leak from pipe at paper mill.  Workers may have been working on pipe contributing to the release.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"01. VERY TOXIC
08. EXTREMELY FLAMMABLE - note 3(c)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",The hydrogen sulfide may have leaked from the piping where the workers were performing maintenance.,,,maintenance/repair,,,"Causes - Plant/Equipment
Causes - Organisational
Other","When working on pipes, need to know if line is closed off and if hazardous materials may be present."
236,Major Accident,Processing of metals,"An explosion occurred while workers were cleaning a heavy, hard metal called tantalum by bathing it in vats containing acid solutions.  ",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"03. OXIDIZING
08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE",Hydrogen gas may have been produced in the process.  The explosion may have been the result of  combustion of the hydrogen gas.  ,,,,,,Other,There might have been an accumulation of hydrogen gas in which case good ventilation system would have help disperse the combustible gas and keep it under the lower explosive limit. 
237,Major Accident,Petrochemical / Oil Refineries,An explosion and flash fire at a petrochemical plant killed one worker.,FALSE,FALSE,FALSE,FALSE,,,"flash fire (burning vapour cloud, subsonic flame front)",,,,,,,06. FLAMMABLE - note 3(a),The accident occurred during maintenance.  There might have been flammable vapor present in the container. ,,,maintenance/repair,,,Other,Must check the container for presence of flammable residue and avoid sources of ignition. 
238,Major Accident,Processing of metals,"Workers were performing demolition on a disused furnace.  While removing a 10 inch valve from a pipe used to supply coke gas fuel to the furnace,  flammable liquid was unexpectedly released and ignited. The fire killed two workers. ",FALSE,FALSE,FALSE,FALSE,fluid release to ground,,,,,,,,,"02. TOXIC
08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE","The workers was not aware that there might be flammable material still in the pipe.  The blast occurred when gas from the line came into contact with #salamander heaters,# which have open flames to keep nearby equipment from freezing.",,,"management organization inadequate
training/instruction",,,"Causes - Plant/Equipment
Causes - Organisational",The heaters should have been removed or turned off before the repairs.  There should have been better knowledge of what may be in the pipe before the valve was removed.
239,Major Accident,Plastic and rubber manufacture,"The explosion occurred at 2:45 a.m. while the workers were cleaning out a pressure vessel known as a ""knockout pot,"" which is used to collect polymer waste. The vessel was used to collect process wastes during the startup and shutdown of the polymer production line. On this occasion, production was shut down after an abortive start-up attempt.

Three workers were killed in the explosion and fire.",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"04. EXPLOSIVE - note 2(a)
06. FLAMMABLE - note 3(a)","There was problem with start up of operation.  
The workers were not aware that there might be flammable material in the vessel.",,,,,,Causes - Organisational,"There needs to be examination of  the overall process design, the company's hazard evaluation process, and the adequacy of procedures. This incident may prove to involve an unanticipated reactive chemical hazard.  "
240,Major Accident,Petrochemical / Oil Refineries,"A fire and sulfuric acid spill at the Motiva Enterprises refinery near Delaware City killed one person and injured eight others.
",FALSE,FALSE,FALSE,FALSE,fluid release to water,,,,,,,,,06. FLAMMABLE - note 3(a),Tank failure possibly caused by accidental ignition of material leaking from tank by welding work that was being conducted nearby.,corrosion/fatigue,,maintenance/repair,,,"Causes - Plant/Equipment
Causes - Organisational","The accident may have resulted from failure to maintain the acid tanks.  The tanks had extensive corrosion and leaks.  Better maintenance of the tanks and removal from service of tanks that may have become unsafe from corrosion would prevent this type of tank failure. 
"
243,Major Accident,Plastic and rubber manufacture,"CTA Acoustics Inc. is a company that makes automotive-insulation products. The explosion and fire on Feb. 20 destroyed part of the business and killed seven workers. 

",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"The plant's four production lines had a history of small fires erupting in the ovens.

Plant operators routinely put out these fires. However, during the cleaning operation, no one was present in the immediate area of the oven who could have detected a fire. ",,,,,,,"The explosion and fire at the CTA Acoustics plant in Corbin, KY, was caused when combustible dust in the plant ignited.  Facilities need to control dust produced during manufacturing to avoid dust explosions."
244,Major Accident,Manufacture of food products and beverages,The explosion caused extensive damage to the facility and resulted in fire and ammonia release.,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"02. TOXIC
06. FLAMMABLE - note 3(a)
09 i. DANGEROUS FOR THE ENVIRONMENT - R50",It is not clear at this point what caused the process vessel to become overpressurized.,,,,,,Other,The process vessel became over pressurized and failed catastrophically.
245,Major Accident,Plastic and rubber manufacture,"Fine plastic powder used in the manufacturing of rubber products caused massive blast at medical device maker West Pharmaceutical Services killing six workers and injuring dozens more.

",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"The suspended or false ceiling at the facility created an area where dust could accumulate out of view, and also created a space where a dust explosion could occur and spread.",,,,,,Other,"The suspended ceiling  created an area where dust could accumulate out of view, and also created a space where a dust explosion could occur and spread. Unsealed ceilings should not be used where hazardous dusts may be present. 
"
